id,Code,Title,Credits,Semester,Original,1stResit,2ndResit,Final,Outcome
1,CHEM1009,An Introduction to Organic Molecules and their Reactivity,20,Full Year UK,,,,,
2,CHEM1011,"An Introduction to Spectroscopy, Energy and Bonding in Chemistry",20,Full Year UK,,,,,
3,CHEM1010,"An Introduction to Structure, Periodicity and Coordination Chemistry",20,Full Year UK,,,,,
4,CHEM1016,Calculations in Chemistry,10,Full Year UK,,,,,
5,CHEM1004,Chemistry Study Skills,10,Autumn UK,60,,,,
6,CHEM1002,Foundation Laboratory Work,20,Full Year UK,,,,,
8,CHEM1008,Frontiers in Chemistry,10,Full Year UK,,,,,
9,CHEM1019,Molecules of Life,10,Spring UK,,,,,
